filename,transcript
data/wav48/p225/p225_001.wav,lease call Stella.
data/wav48/p225/p225_002.wav,sk her to bring these things with her from the store.
data/wav48/p225/p225_003.wav,"ix spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."
data/wav48/p225/p225_004.wav,e also need a small plastic snake and a big toy frog for the kids.
data/wav48/p225/p225_005.wav,"he can scoop these things into three red bags, and we will go meet her Wednesday at the train station."
data/wav48/p225/p225_006.wav,"hen the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."
data/wav48/p225/p225_007.wav,he rainbow is a division of white light into many beautiful colors.
data/wav48/p225/p225_008.wav,"hese take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."
data/wav48/p225/p225_009.wav,"here is , according to legend, a boiling pot of gold at one end."
data/wav48/p225/p225_010.wav,"eople look, but no one ever finds it."
data/wav48/p225/p225_011.wav,"hen a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."
data/wav48/p225/p225_012.wav,hroughout the centuries people have explained the rainbow in various ways.
data/wav48/p225/p225_013.wav,ome have accepted it as a miracle without physical explanation.
data/wav48/p225/p225_014.wav,o the Hebrews it was a token that there would be no more universal floods.
data/wav48/p225/p225_016.wav,he Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.
data/wav48/p225/p225_017.wav,thers have tried to explain the phenomenon physically.
data/wav48/p225/p225_018.wav,ristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
data/wav48/p225/p225_019.wav,"ince then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."
data/wav48/p225/p225_020.wav,any complicated ideas about the rainbow have been formed.
data/wav48/p225/p225_021.wav,"he difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."
data/wav48/p225/p225_022.wav,he actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
data/wav48/p225/p225_023.wav,"f the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."
data/wav48/p225/p225_024.wav,"his is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
data/wav48/p225/p225_025.wav,hy do you want to come to Edinburgh ?
data/wav48/p225/p225_026.wav,"ow are you, sir ?"
data/wav48/p225/p225_027.wav,"o is that it, then ?"
data/wav48/p225/p225_028.wav,o I have a favourite ?
data/wav48/p225/p225_029.wav,hat do we do ?
